127.0.0.1 - - [05/Nov/2021:04:00:26 +0900] "GET / HTTP/1.1" 200 132
0:0:0:0:0:0:0:1 - - [05/Nov/2021:04:00:27 +0900] "GET /02_Servlet/Login.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Nov/2021:04:00:27 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [05/Nov/2021:04:00:29 +0900] "POST /02_Servlet/LogIn HTTP/1.1" 200 130
0:0:0:0:0:0:0:1 - - [05/Nov/2021:04:00:34 +0900] "POST /02_Servlet/LogIn HTTP/1.1" 200 97
0:0:0:0:0:0:0:1 - - [05/Nov/2021:04:00:42 +0900] "POST /02_Servlet/LogIn HTTP/1.1" 200 97
0:0:0:0:0:0:0:1 - - [05/Nov/2021:04:01:36 +0900] "POST /02_Servlet/LogIn HTTP/1.1" 200 107
0:0:0:0:0:0:0:1 - - [05/Nov/2021:04:01:39 +0900] "POST /02_Servlet/LogIn HTTP/1.1" 200 107
0:0:0:0:0:0:0:1 - - [05/Nov/2021:04:01:53 +0900] "POST /02_Servlet/LogIn HTTP/1.1" 200 107
0:0:0:0:0:0:0:1 - - [05/Nov/2021:04:01:56 +0900] "GET /02_Servlet/Login.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Nov/2021:04:01:57 +0900] "POST /02_Servlet/LogIn HTTP/1.1" 200 135
0:0:0:0:0:0:0:1 - - [05/Nov/2021:04:01:59 +0900] "POST /02_Servlet/LogIn HTTP/1.1" 200 135
0:0:0:0:0:0:0:1 - - [05/Nov/2021:04:02:02 +0900] "POST /02_Servlet/LogIn HTTP/1.1" 200 102
